"asset_id","risk_level","probability"
"AST027941","HIGH","0.596"
"AST031943","HIGH","0.5946"
"AST029309","HIGH","0.5942"
"AST013039","HIGH","0.5932"
"AST016760","HIGH","0.5928"
"AST028769","HIGH","0.5924"
"AST040339","HIGH","0.5915"
"AST037758","HIGH","0.5911"
"AST019319","HIGH","0.5895"
"AST040813","HIGH","0.5894"
"AST023097","HIGH","0.5893"
"AST024931","HIGH","0.5889"
"AST025214","HIGH","0.5889"
"AST038653","HIGH","0.5888"
"AST027117","HIGH","0.5888"
"AST039948","HIGH","0.5888"
"AST017331","HIGH","0.5887"
"AST039924","HIGH","0.5885"
"AST004615","HIGH","0.5883"
"AST026208","HIGH","0.5883"
"AST029145","HIGH","0.5882"
"AST025590","HIGH","0.5881"
"AST033575","HIGH","0.5881"
"AST036563","HIGH","0.5878"
"AST023910","HIGH","0.5878"
"AST023935","HIGH","0.5877"
"AST034827","HIGH","0.5877"
"AST028967","HIGH","0.5877"
"AST034888","HIGH","0.5874"
"AST030676","HIGH","0.5874"
"AST024836","HIGH","0.5873"
"AST026363","HIGH","0.587"
"AST020854","HIGH","0.587"
"AST001310","HIGH","0.587"
"AST039268","HIGH","0.5866"
"AST021630","HIGH","0.5866"
"AST033895","HIGH","0.5866"
"AST035193","HIGH","0.5866"
"AST032353","HIGH","0.5864"
"AST040843","HIGH","0.5862"
"AST012115","HIGH","0.5861"
"AST024771","HIGH","0.5861"
"AST026824","HIGH","0.586"
"AST001928","HIGH","0.5857"
"AST029441","HIGH","0.5856"
"AST005343","HIGH","0.5855"
"AST029932","HIGH","0.5855"
"AST033316","HIGH","0.5855"
"AST024686","HIGH","0.5854"
"AST015875","HIGH","0.5854"
"AST028446","HIGH","0.5853"
"AST035567","HIGH","0.5853"
"AST041465","HIGH","0.5852"
"AST029545","HIGH","0.5851"
"AST038562","HIGH","0.5851"
"AST008858","HIGH","0.585"
"AST033252","HIGH","0.5849"
"AST020982","HIGH","0.5849"
"AST028543","HIGH","0.5849"
"AST010962","HIGH","0.5848"
"AST023516","HIGH","0.5847"
"AST031000","HIGH","0.5846"
"AST028776","HIGH","0.5846"
"AST023300","HIGH","0.5845"
"AST018914","HIGH","0.5845"
"AST038255","HIGH","0.5844"
"AST027289","HIGH","0.5844"
"AST008800","HIGH","0.5843"
"AST032888","HIGH","0.5843"
"AST039104","HIGH","0.5842"
"AST029707","HIGH","0.5842"
"AST017504","HIGH","0.5841"
"AST025920","HIGH","0.5841"
"AST032738","HIGH","0.5841"
"AST033891","HIGH","0.5841"
"AST028123","HIGH","0.5841"
"AST031898","HIGH","0.584"
"AST037861","HIGH","0.5839"
"AST028790","HIGH","0.5838"
"AST015372","HIGH","0.5838"
"AST025331","HIGH","0.5837"
"AST036188","HIGH","0.5837"
"AST032484","HIGH","0.5837"
"AST024958","HIGH","0.5837"
"AST017844","HIGH","0.5836"
"AST016063","HIGH","0.5835"
"AST016896","HIGH","0.5834"
"AST018417","HIGH","0.5834"
"AST012789","HIGH","0.5834"
"AST031361","HIGH","0.5832"
"AST035810","HIGH","0.5832"
"AST021856","HIGH","0.5832"
"AST038366","HIGH","0.5832"
"AST019584","HIGH","0.5832"
"AST025460","HIGH","0.5831"
"AST017067","HIGH","0.583"
"AST032728","HIGH","0.583"
"AST037665","HIGH","0.5829"
"AST034839","HIGH","0.5829"
"AST037485","HIGH","0.5829"
"AST016919","HIGH","0.5829"
"AST015003","HIGH","0.5828"
"AST025125","HIGH","0.5828"
"AST011860","HIGH","0.5827"
"AST037059","HIGH","0.5826"
"AST017172","HIGH","0.5826"
"AST025041","HIGH","0.5826"
"AST033080","HIGH","0.5826"
"AST021653","HIGH","0.5826"
"AST039069","HIGH","0.5825"
"AST005690","HIGH","0.5825"
"AST020751","HIGH","0.5825"
"AST027518","HIGH","0.5825"
"AST030465","HIGH","0.5825"
"AST035955","HIGH","0.5825"
"AST032267","HIGH","0.5825"
"AST025496","HIGH","0.5824"
"AST005439","HIGH","0.5823"
"AST035648","HIGH","0.5822"
"AST017642","HIGH","0.5822"
"AST032581","HIGH","0.5821"
"AST037110","HIGH","0.5821"
"AST037459","HIGH","0.5821"
"AST029667","HIGH","0.5821"
"AST022846","HIGH","0.582"
"AST035100","HIGH","0.582"
"AST018647","HIGH","0.582"
"AST008593","HIGH","0.582"
"AST009075","HIGH","0.582"
"AST039074","HIGH","0.582"
"AST018786","HIGH","0.5819"
"AST040269","HIGH","0.5819"
"AST037533","HIGH","0.5819"
"AST038576","HIGH","0.5819"
"AST003116","HIGH","0.5818"
"AST037788","HIGH","0.5818"
"AST016338","HIGH","0.5818"
"AST034988","HIGH","0.5818"
"AST026879","HIGH","0.5817"
"AST033789","HIGH","0.5817"
"AST019812","HIGH","0.5817"
"AST030597","HIGH","0.5817"
"AST025980","HIGH","0.5817"
"AST007887","HIGH","0.5817"
"AST037234","HIGH","0.5816"
"AST009418","HIGH","0.5816"
"AST012536","HIGH","0.5816"
"AST018257","HIGH","0.5816"
"AST026411","HIGH","0.5815"
"AST016012","HIGH","0.5815"
"AST039472","HIGH","0.5815"
"AST002281","HIGH","0.5815"
